gameId,Date,Season,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,HTGD,ATGD,DiffPts,DiffFormPts,f_cornersAgainstHome,f_cornersForHome,f_freesAgainstHome,f_freesForHome,f_goalsAgainstHome,f_goalsForHome,f_halfTimeGoalsAgainstHome,f_halfTimeGoalsForHome,f_redsAgainstHome,f_redsForHome,f_shotsAgainstHome,f_shotsForHome,f_shotsOnTargetAgainstHome,f_shotsOnTargetForHome,f_yellowsAgainstHome,f_yellowsForHome,f_cornersAgainstAway,f_cornersForAway,f_freesAgainstAway,f_freesForAway,f_goalsAgainstAway,f_goalsForAway,f_halfTimeGoalsAgainstAway,f_halfTimeGoalsForAway,f_redsAgainstAway,f_redsForAway,f_shotsAgainstAway,f_shotsForAway,f_shotsOnTargetAgainstAway,f_shotsOnTargetForAway,f_yellowsAgainstAway,f_yellowsForAway
12,2016-08-27,1617,Napoli,Milan,H,1.67,4.0,5.0,1.0,-0.5,-1.0,-1.0,3.55,2.6500000000000004,13.75,11.6,0.8999999999999999,1.0,0.4499999999999999,0.55,0.0,0.0,13.500000000000002,8.950000000000001,2.9,2.1,1.55,1.35,5.475083056478405,8.09966777408638,15.900332225913624,9.93687707641196,1.461794019933555,2.9401993355481726,0.8039867109634552,0.7308970099667775,0.0,0.0,13.375415282392026,23.282392026578076,4.7275747508305646,7.940199335548173,2.32890365448505,1.5348837209302326
13,2016-08-28,1617,Cagliari,Roma,D,4.75,3.75,1.7,-1.0,2.0,-1.5,-1.5,3.5980066445182723,10.009966777408636,17.558139534883722,12.780730897009969,1.2691029900332225,1.1328903654485052,0.0,0.0,0.0,0.0,9.551495016611296,19.578073089701,4.073089700996678,5.26578073089701,2.584717607973422,1.807308970099668,3.59468438538206,7.093023255813953,14.39202657807309,8.624584717607974,0.6710963455149501,2.0730897009966776,0.4019933554817276,1.4750830564784052,0.0,0.0,6.6677740863787385,18.634551495016613,1.803986710963455,6.740863787375416,1.9401993355481728,1.32890365448505
14,2016-08-28,1617,Crotone,Genoa,A,4.0,3.4,1.91,-1.5,2.0,-1.5,-1.5,9.5,6.35,14.05,13.35,1.65,1.0,1.65,1.0,0.4499999999999999,0.0,15.8,14.85,6.4,5.25,1.0,2.0,1.0,6.0,13.3,15.2,1.0,3.0,0.55,0.0,0.0,0.0,7.85,19.8,3.0,7.1,2.45,2.9
15,2016-08-28,1617,Fiorentina,Chievo,H,1.67,3.75,5.5,0.0,0.5,-1.5,-1.5,5.285714285714287,6.2724252491694354,13.877076411960132,18.026578073089706,1.9401993355481728,2.584717607973422,0.5980066445182725,0.6578073089700998,0.2691029900332226,0.0,15.093023255813954,17.588039867109632,3.2093023255813957,7.508305647840532,1.461794019933555,1.9401993355481728,2.661129568106312,4.192691029900333,21.58471760797342,17.255813953488374,1.32890365448505,0.8039867109634552,1.0,0.4019933554817276,0.4019933554817276,0.5980066445182725,10.066445182724252,11.654485049833887,3.1362126245847177,4.132890365448505,2.465116279069768,2.196013289036545
16,2016-08-28,1617,Inter,Palermo,D,1.33,4.75,10.0,-1.0,-0.5,0.0,0.0,7.551495016611295,5.877076411960132,12.421926910299003,12.318936877076412,1.0764119601328903,1.0598006644518274,0.0,0.3289036544850499,0.3289036544850499,0.0,16.631229235880397,10.598006644518271,4.541528239202658,2.0598006644518274,1.388704318936877,3.534883720930233,3.8704318936877073,3.1960132890365447,12.159468438538203,14.92691029900332,0.7308970099667775,0.9401993355481726,0.3289036544850499,0.0,0.0,0.0,12.196013289036545,9.003322259136212,3.0,3.3421926910299,3.086378737541528,2.0
17,2016-08-28,1617,Sampdoria,Atalanta,H,2.25,3.2,3.4,1.0,-1.0,1.5,1.5,8.581435643564355,6.490346534653466,12.855445544554456,13.620792079207918,1.5126237623762375,1.3118811881188115,0.4410891089108911,0.1804455445544554,0.0,0.6215346534653466,14.007178217821783,11.699752475247523,4.013613861386139,3.0913366336633663,3.6507425742574258,2.1400990099009904,2.9022277227722766,5.136633663366337,10.391089108910892,14.412623762376237,1.0314356435643564,1.9797029702970297,0.0,0.5413366336633663,0.0,0.0,11.476980198019804,13.850742574257428,4.251980198019802,5.735891089108912,2.0,2.588118811881188
18,2016-08-28,1617,Sassuolo,Pescara,A,1.62,3.75,6.0,-1.0,1.5,1.0,1.0,3.0891089108910887,3.879702970297029,14.439851485148514,15.003465346534652,2.4207920792079207,1.3009900990099008,1.3118811881188115,0.2205445544554455,0.0,0.2205445544554455,11.476485148514852,13.20866336633663,6.816831683168317,2.7707920792079204,1.7794554455445544,2.4410891089108917,5.274504950495049,4.449257425742574,14.381930693069307,15.460396039603962,1.5391089108910891,0.55,0.5099009900990099,0.0,0.0,0.1804455445544554,17.028217821782178,8.108168316831684,4.762623762376236,2.9393564356435644,1.56980198019802,1.942079207920792
19,2016-08-28,1617,Torino,Bologna,H,1.85,3.5,4.5,1.5,-1.5,-1.5,-1.5,4.919554455445544,4.978217821782178,12.20519801980198,9.720049504950495,2.360643564356436,1.269554455445545,0.7705445544554456,0.4900990099009901,0.2695544554455445,0.3294554455445544,15.196782178217822,13.361881188118812,7.068316831683169,5.207673267326733,1.2096534653465345,1.2205445544554456,5.193811881188119,6.086386138613862,15.10222772277228,16.099009900990097,1.3586633663366336,1.1606435643564357,0.4900990099009901,1.1606435643564357,0.400990099009901,0.0,12.751237623762378,11.659158415841585,3.9066831683168313,4.659653465346534,3.2205445544554454,2.1403465346534656
20,2016-08-28,1617,Udinese,Empoli,H,2.05,3.4,3.75,-1.0,-1.5,0.0,0.0,4.242574257425742,4.449257425742574,13.424752475247525,12.974257425742572,0.8195544554455446,1.2893564356435645,0.55,0.0,0.0,0.0,10.813613861386138,12.626237623762377,3.3294554455445544,4.217821782178218,3.057920792079208,2.658910891089109,8.897009966777409,5.003322259136213,15.235880398671096,14.013289036544853,0.9867109634551496,1.4019933554817277,0.9867109634551496,0.5980066445182725,0.6710963455149501,0.0,16.282392026578073,13.30232558139535,5.837209302325582,5.551495016611296,1.4019933554817277,1.196013289036545
21,2016-09-10,1617,Juventus,Sassuolo,H,1.3,5.0,12.0,1.3333333333333333,-1.3333333333333333,1.0,1.0,4.420049504950495,4.458663366336634,20.73316831683168,13.876980198019805,0.8910891089108911,0.5391089108910891,0.6705445544554455,0.2695544554455445,0.2695544554455445,0.400990099009901,11.691831683168315,9.462128712871287,3.750247524752475,3.4301980198019804,2.9707920792079205,2.460891089108911,3.7304455445544553,8.359405940594058,17.703712871287127,12.852970297029705,1.1804455445544555,1.4185643564356436,0.0,0.0,0.0,0.3294554455445544,9.36980198019802,18.399257425742576,3.3900990099009904,4.5193069306930695,2.721534653465347,1.870792079207921
